STUDENT_COURSES_ID,STUID,COURSEID,ENROLLEDSEMESTER,COURSEGRADE
253,2694,276,2019-2,A
254,2694,265,2019-2,C
255,2694,73,2020-1,NG
256,2694,295,2019-2,P
257,2694,90,2020-1,NG
258,2694,74,2020-1,NG
259,2694,208,2020-1,NG
260,2694,73,2022-1,W
261,2694,74,2022-1,B+
262,2788,95,2011-1,B+
263,2788,79,2011-2,A-
264,2788,73,2011-1,WP
265,2788,73,2012-1,D
266,2792,106,2005-2,B+
267,2792,108,2005-2,A
268,2792,107,2005-2,A
269,2792,272,2005-2,B
270,3136,74,2013-1,F
271,3136,73,2013-1,F
272,3136,289,2013-1,F
273,3301,180,2001-1,F
274,3301,213,2003-2,C+
275,3301,105,2003-3,C+
276,3301,103,2004-1,C
277,3301,107,2004-2,F
278,3301,205,2004-2,F
279,3301,82,2005-1,W
280,3301,82,2005-2,F
281,3301,210,2001-1,C
282,3301,162,2003-1,B
283,3301,81,2003-3,B+
284,3301,197,2005-1,F
285,3301,180,2003-1,C+
286,3301,163,2003-2,B+
287,3301,197,2004-1,WP
288,3301,108,2004-2,C+
289,3301,210,2003-1,B
290,3301,87,2003-2,B+
291,3301,104,2004-1,B+
292,3301,197,2004-2,NG
293,3301,175,2003-1,A-
294,3301,84,2003-1,D+
295,3301,82,2003-1,F
296,3301,82,2004-1,F
297,3301,279,2004-1,D+
298,3301,285,2004-2,D
299,3573,210,2003-3,C
300,3573,292,2002-1,C
301,3573,210,2002-2,D+
302,3573,201,2002-1,C+
303,3573,175,2002-1,B
304,3573,84,2002-1,B
305,3573,85,2002-1,C+
306,3573,162,2002-2,B
307,3573,153,2002-1,C
308,3573,89,2002-2,F
309,3573,292,2003-1,A
310,3573,89,2003-2,W
311,3573,87,2003-2,B+
312,3573,266,2003-3,B+
313,3573,180,2003-1,C+
314,3573,210,2003-1,C
315,3573,163,2003-2,B
316,3593,104,2004-1,D+
317,3593,175,2003-1,NG
318,3593,89,2003-2,D+
319,3593,82,2004-2,F
320,3593,82,2003-1,D
321,3593,84,2003-1,F
322,3593,180,2003-1,D
323,3593,83,2003-2,A-
324,3593,102,2004-1,C
325,3593,89,2004-2,C
326,3593,88,2004-1,WF
327,3593,84,2005-1,B+
328,3593,292,2003-1,A
329,3593,87,2003-2,C
330,3593,84,2004-2,D
331,3593,197,2005-1,D+
332,3593,279,2005-1,B
333,3641,212,2002-2,WF
334,3641,103,2003-1,C
335,3641,107,2003-2,C
336,3641,88,2004-1,B
337,3641,87,2004-2,A-
338,3641,106,2004-2,C+
339,3641,107,2004-2,B+
340,3641,205,2004-2,C+
341,3641,205,2004-1,WF
342,3641,218,2008-2,W
343,3641,213,2002-2,D+
344,3641,213,2003-1,B
345,3641,279,2003-2,B
346,3641,83,2002-2,C+
347,3641,87,2002-2,C
348,3641,89,2002-2,C+
349,3641,104,2003-1,A-
350,3641,285,2003-2,B
351,3641,100,2008-2,F
352,3641,101,2008-2,F
353,3641,243,2008-2,A-
354,3641,102,2003-1,B+
355,3641,108,2004-2,A
356,3641,163,2002-2,C+
357,3641,105,2002-3,A-
358,3641,175,2003-1,B+
359,3641,180,2003-1,B
360,3641,83,2003-2,A
361,3641,212,2003-2,C
362,3641,103,2004-1,B
363,3641,292,2004-1,A
364,3641,117,2008-2,F
365,3845,83,2002-2,C
366,3845,212,2002-2,D+
367,3845,222,2003-1,B
368,3845,81,2004-1,A-
369,3845,180,2002-1,A-
370,3845,88,2003-1,C+
371,3845,106,2003-2,C+
372,3845,105,2002-1,B+
373,3845,87,2003-2,B+
374,3845,104,2004-1,A-
375,3845,84,2002-1,D+
376,3845,102,2002-1,C+
377,3845,85,2002-1,B+
378,3845,103,2003-1,B+
379,3845,107,2003-2,B
380,3845,108,2003-2,B+
381,3845,222,2002-1,F
382,3845,292,2002-2,A-
383,3845,89,2003-2,B+
384,3864,272,2004-2,RE
385,3864,83,2004-2,RE
386,3864,89,2004-2,RE
387,3864,175,2004-1,B+
388,3864,82,2004-1,C+
389,3864,128,2004-1,A-
390,3864,197,2004-1,C+
391,3864,205,2004-2,RE
392,3864,279,2004-2,RE
393,3864,204,2004-2,RE
394,3874,68,2009-1,B+
395,3874,89,2009-1,B
396,3874,91,2009-1,B+
397,3874,102,2009-1,C
398,3874,104,2009-1,A
399,3874,82,2009-1,A-
400,3880,213,2002-2,A
401,3880,87,2003-2,A
402,3880,222,2003-1,A
403,3880,212,2002-2,A-
404,3880,89,2003-2,A
405,3880,285,2002-2,A
406,3880,82,2003-1,A
407,3880,292,2003-1,A
408,3880,83,2003-2,A
409,4258,292,2006-1,C+
410,4258,243,2007-1,B+
411,4258,101,2007-2,C
412,4258,205,2007-2,F
413,4258,218,2008-1,D+
414,4258,272,2008-1,C
415,4258,202,2006-1,D
416,4258,106,2007-2,C+
417,4258,108,2008-2,C
418,4258,89,2009-1,C
419,4258,100,2009-2,B
420,4258,215,2010-2,B
421,4258,197,2006-2,C+
422,4258,91,2007-1,B
423,4258,102,2008-1,F
424,4258,89,2008-2,D+
425,4258,100,2008-2,F
426,4258,102,2008-2,C
427,4258,107,2008-2,D
428,4258,197,2006-1,WF
429,4258,100,2007-2,WP
430,4258,107,2007-2,WP
431,4258,68,2008-1,WP
432,4258,218,2009-1,C
433,4258,107,2009-2,C+
434,4258,205,2009-2,D+
435,4258,175,2006-1,B+
436,4258,83,2006-2,B
437,4258,88,2007-1,C
438,4258,104,2007-2,B+
439,4258,279,2007-3,B+
440,4258,205,2008-2,F
441,4258,82,2006-1,C+
442,4258,202,2006-2,C+
443,4369,79,2012-2,B
444,4369,159,0000-1,TR
445,4369,208,0000-1,TR
446,4369,244,2010-3,A-
447,4369,93,2012-1,B+
448,4369,95,2012-1,B
449,4369,96,2020-2,B+
450,4369,233,0000-1,TR
451,4369,90,2012-1,B
452,4369,70,0000-1,TR
453,4369,176,0000-1,TR
454,4369,215,0000-1,TR
455,4369,231,0000-1,TR
456,4369,265,0000-1,EX
457,4369,295,0000-1,TR
458,4369,80,2010-2,B+
459,4369,92,2011-1,A-
460,4369,94,2012-1,A-
461,4369,109,2012-2,A-
462,4369,158,0000-1,TR
463,4369,209,0000-1,TR
464,4369,224,0000-1,TR
465,4369,269,0000-1,TR
466,4369,73,2010-1,A
467,4369,97,2011-2,C
468,4369,99,2012-2,B+
469,4395,88,2005-1,RE
470,4396,82,2008-1,D+
471,4407,163,2002-2,C+
472,4407,83,2003-2,F
473,4407,180,2003-2,B+
474,4407,103,2004-1,B+
475,4407,89,2002-2,B+
476,4407,292,2003-2,F
477,4407,88,2004-1,C+
478,4407,292,2004-1,B+
479,4407,81,2002-1,A-
480,4407,175,2003-2,A-
481,4407,87,2003-2,F
482,4407,279,2003-2,B
483,4407,285,2004-1,B+
484,4407,106,2004-2,B
485,4407,107,2004-2,A-
486,4407,162,2002-1,B+
487,4407,202,2003-1,A-
488,4407,205,2003-2,C+
489,4407,102,2004-1,B+
490,4407,104,2004-1,A
491,4407,87,2004-2,A
492,4407,83,2004-2,A-
493,4407,108,2004-2,A
494,4407,197,2004-2,B
495,4407,210,2002-1,A
496,4407,82,2003-1,A-
497,4407,105,2003-1,A-
498,4446,88,2005-1,B
499,4446,272,2004-2,C+
500,4446,103,2005-1,A-
501,4446,106,2005-2,B
502,4446,108,2005-2,B+
503,4446,82,2004-1,A
504,4446,205,2004-1,C+
505,4446,204,2004-2,B+
506,4446,104,2005-1,A-
507,4446,105,2005-2,B
508,4446,84,2004-1,A-
509,4446,102,2005-1,C+
510,4446,128,2005-1,B+
511,4446,273,2005-1,A
512,4446,83,2005-2,A-
513,4446,107,2005-2,C+
514,4446,163,2005-2,C+
515,4446,197,2004-1,A-
516,4446,279,2004-1,C+
517,4446,89,2004-2,C+
518,4446,180,2004-2,C
519,4446,83,2004-2,C
520,4484,82,2003-1,A
521,4484,87,2003-2,A-
522,4484,163,2003-2,B+
523,4484,180,2004-1,B+
524,4484,162,2003-1,B
525,4484,83,2003-2,A-
526,4484,105,2003-3,B
527,4484,107,2004-2,B+
528,4484,210,2003-1,A-
529,4484,213,2003-2,A-
530,4484,108,2004-2,A
531,4484,84,2003-1,A-
532,4484,212,2003-2,C+
533,4484,205,2004-1,WP
534,4484,104,2004-1,A-
535,4484,106,2004-2,B
536,4484,88,2004-1,A-
537,4484,102,2004-1,C+
538,4484,285,2004-2,B
539,4484,175,2003-1,A-
540,4484,89,2003-2,B
541,4484,103,2004-1,B+
542,4484,205,2004-2,D+
543,4484,279,2004-2,B
544,4508,180,2002-2,D
545,4508,292,2002-2,F
546,4508,162,2004-2,C+
547,4508,4,2002-2,F
548,4508,292,2004-2,C
549,4508,243,2002-2,F
550,4508,266,2002-2,B
551,4508,133,2004-2,B
552,4508,180,2006-1,C+
553,4508,243,2006-1,C
554,4518,105,2003-3,A-
555,4518,175,2003-1,A-
556,4518,83,2003-2,A
557,4518,87,2003-2,B
558,4518,212,2003-2,A
559,4518,272,2003-2,B+
560,4518,102,2004-1,B+
561,4518,104,2004-1,A
562,4518,82,2003-1,A-
563,4518,213,2003-1,B+
564,4518,89,2003-2,A-
565,4518,205,2004-1,B
566,4518,107,2004-2,A-
567,4518,285,2003-1,A-
568,4518,88,2004-1,A
569,4518,103,2004-1,B
570,4518,106,2004-2,B+
571,4518,162,2004-2,A-
572,4518,84,2003-1,A-
573,4518,108,2004-2,A
574,4538,292,2003-1,C
575,4538,180,2004-1,A-
576,4538,272,2004-2,A-
577,4538,202,2005-1,B+
578,4538,107,2005-2,C+
579,4538,286,2003-2,C+
580,4538,102,2005-1,A-
581,4538,163,2003-2,B
582,4538,197,2003-2,D+
583,4538,279,2003-2,B+
584,4538,82,2004-1,B
585,4538,197,2004-1,B
586,4538,83,2004-2,A-
587,4538,106,2005-2,B
588,4538,162,2003-1,B
589,4538,84,2004-1,A-
590,4538,89,2004-2,A-
591,4538,104,2005-1,A
592,4538,292,2002-2,D
593,4538,210,2003-1,B+
594,4538,205,2004-2,A-
595,4538,88,2005-1,B+
596,4538,103,2005-1,B+
597,4538,105,2005-2,A-
598,4538,229,2002-2,W
599,4538,175,2004-1,B+
600,4538,87,2004-2,A-
601,4538,108,2005-2,A
602,4566,84,2003-1,B
603,4566,104,2003-1,A
604,4566,83,2003-2,A
605,4566,87,2003-2,A-
606,4566,89,2004-2,B+
607,4566,106,2004-2,B+
608,4566,105,2005-2,B
609,4566,107,2005-2,A-
610,4566,108,2005-2,A
611,4566,292,2002-2,A
612,4566,175,2003-1,A
613,4566,279,2003-2,C+
614,4566,82,2003-1,A
615,4566,103,2005-1,A-
616,4566,88,2004-1,B
617,4566,285,2002-2,A-
618,4566,180,2004-1,A-
619,4566,102,2005-1,B+
620,4584,197,2008-1,WF
621,4584,81,2008-1,C
622,4584,180,2009-1,WF
623,4584,91,2009-1,F
624,4584,163,2009-2,F
625,4584,157,2008-1,P
626,4584,81,2008-2,RE
627,4584,243,2008-2,RE
628,4584,82,2009-1,F
629,4584,162,2009-1,C
630,4584,243,2009-2,F
631,4584,180,2008-2,RE
632,4584,202,2008-2,RE
633,4584,279,2009-2,D+
634,4584,175,2008-1,C+
635,4584,82,2008-1,WP
636,4584,162,2008-2,RE
637,4584,294,2008-1,A
638,4602,162,2003-1,B
639,4602,88,2004-1,WP
640,4602,104,2004-1,B+
641,4602,107,2005-2,B
642,4602,205,2006-2,F
643,4602,101,2007-2,B+
644,4602,205,2007-2,C+
645,4602,210,2003-1,C
646,4602,103,2004-1,B
647,4602,88,2005-1,B+
648,4602,243,2007-2,A-
649,4602,175,2003-1,B+
650,4602,82,2003-1,D+
651,4602,89,2003-2,B+
652,4602,82,2004-1,A-
653,4602,180,2004-2,B
654,4602,4,2005-1,A-
655,4602,100,2007-2,WP
656,4602,5,2007-2,B
657,4602,83,2003-2,B+
658,4602,180,2004-1,D+
659,4602,285,2004-2,B+
660,4602,128,2005-1,B
661,4602,205,2005-2,WF
662,4602,84,2003-1,B
663,4602,292,2003-1,A
664,4602,87,2003-2,C+
665,4602,213,2003-2,C+
666,4602,102,2004-1,C+
667,4602,197,2004-2,C
668,4602,102,2005-1,B+
669,4602,163,2003-2,A-
670,4602,87,2004-2,A
671,4602,279,2004-2,B+
672,4602,105,2005-2,B+
673,4602,106,2005-2,B+
674,4602,108,2005-2,A
675,4639,82,2003-1,D
676,4639,162,2003-1,B+
677,4639,210,2003-1,D
678,4639,83,2003-2,B+
679,4639,89,2003-2,C+
680,4639,84,2005-1,B
681,4639,107,2005-2,C
682,4639,87,2003-2,B
683,4639,163,2003-2,B
684,4639,180,2004-1,C
685,4639,105,2005-2,A-
686,4639,107,2006-2,C+
687,4639,197,2004-2,C
688,4639,285,2004-2,B
689,4639,88,2005-1,B
690,4639,106,2005-2,B
691,4639,108,2005-2,B
692,4639,205,2007-2,D
693,4639,84,2003-1,B
694,4639,292,2003-1,A
695,4639,213,2003-2,D+
696,4639,82,2004-1,B+
697,4639,210,2004-2,C
698,4639,205,2006-2,F
699,4639,88,2004-1,WP
700,4639,279,2004-2,C+
701,4639,205,2005-2,WF
702,4639,175,2003-1,B+
703,4639,102,2004-1,B
704,4639,103,2004-1,C
705,4639,104,2004-1,A-
706,4639,103,2005-1,B+
707,4639,202,2006-1,C
708,4672,82,2003-1,B
709,4672,162,2003-1,B
710,4672,210,2003-1,C+
711,4672,292,2003-1,A
712,4672,87,2003-2,B
713,4672,89,2003-2,B
714,4672,108,2004-2,A
715,4672,106,2005-2,C+
716,4672,205,2004-1,WF
717,4672,106,2004-2,D+
718,4672,175,2003-1,B+
719,4672,83,2003-2,B
720,4672,213,2003-2,B+
721,4672,105,2003-3,A-
722,4672,107,2004-2,B+
723,4672,88,2005-1,C+
724,4672,212,2003-2,B
725,4672,285,2004-2,B
726,4672,279,2005-2,B+
727,4672,163,2003-2,C+
728,4672,88,2004-1,C
729,4672,102,2004-1,C+
730,4672,103,2004-1,C+
731,4672,104,2004-1,C+
732,4672,180,2004-1,C+
733,4672,84,2003-1,A-
734,4672,205,2004-2,C
735,4699,292,2004-2,A
736,4699,180,2004-2,B
737,4699,197,2004-2,WF
738,4699,82,2004-2,WP
739,4699,84,2004-2,C+
740,4699,175,2004-2,A-
741,4699,272,2004-2,WF
742,4706,208,2020-2,B+
743,4706,73,2021-1,A
744,4706,75,2021-2,A
745,4706,78,2021-2,B+
746,4706,80,2021-2,B
747,4706,276,2021-1,B
748,4706,291,2021-1,P
749,4706,209,2020-2,C
750,4706,74,2020-2,A-
751,4706,215,2021-2,B
752,4716,82,2005-2,A
753,4716,266,2005-3,B
754,4716,83,2004-2,B+
755,4716,107,2005-2,C
756,4716,27,2005-3,B+
757,4716,61,2006-1,NG
758,4716,252,2006-1,B
759,4716,108,2006-2,A
760,4716,105,2004-1,B+
761,4716,197,2004-1,C+
762,4716,89,2004-2,B
763,4716,205,2004-2,D
764,4716,26,2005-2,NG
765,4716,256,2006-1,B+
766,4716,106,2006-2,B
767,4716,82,2004-1,C+
768,4716,163,2004-1,B+
769,4716,204,2004-2,C
770,4716,128,2005-1,B
771,4716,273,2005-1,B+
772,4716,10,2005-2,B+
773,4716,62,2006-1,C
774,4716,107,2006-2,B+
775,4716,272,2004-2,B
776,4716,88,2005-1,WP
777,4716,102,2005-1,B+
778,4716,103,2005-1,B
779,4716,27,2005-2,F
780,4716,26,2005-3,NG
781,4716,88,2006-1,B+
782,4716,254,2006-1,C+
783,4716,84,2004-1,A
784,4716,180,2004-1,B+
785,4716,104,2005-1,A-
786,4716,205,2005-2,B
787,4751,162,2004-1,B
788,4751,292,2004-1,A-
789,4751,202,2004-1,WP
790,4751,175,2004-1,NG
791,4751,81,2004-1,F
792,4751,197,2004-1,WP
793,4751,82,2004-1,F
794,4758,201,2003-1,P
795,4758,210,2003-2,C
796,4758,102,2004-1,B
797,4758,180,2005-1,C
798,4758,83,2003-2,A-
799,4758,81,2003-3,A-
800,4758,105,2003-3,C+
801,4758,82,2004-1,B
802,4758,88,2004-1,B
803,4758,87,2004-2,A-
804,4758,107,2005-2,C
805,4758,285,2005-2,B
806,4758,153,2003-1,P
807,4758,292,2003-1,F
808,4758,89,2003-2,C
809,4758,104,2004-1,B+
810,4758,213,2004-2,D+
811,4758,108,2005-2,B
812,4758,205,2005-2,F
813,4758,197,2004-1,F
814,4758,103,2005-1,B+
815,4758,175,2003-1,B
816,4758,162,2004-1,C+
817,4758,106,2004-2,B+
818,4758,197,2005-1,B
819,4758,82,2003-1,D+
820,4758,84,2003-1,F
821,4758,163,2005-1,C+
822,4758,292,2005-1,A-
823,4758,279,2005-2,B
824,4788,102,2007-1,B
825,4788,202,2007-1,B+
826,4788,88,2007-1,WP
827,4788,197,2007-1,C+
828,4788,175,2007-1,B+
829,4788,180,2007-1,A
830,4788,205,2007-2,C+
831,4788,89,2007-2,C
832,4788,243,2007-2,A-
833,4788,272,2007-2,C+
834,4798,82,2003-1,C+
835,4798,89,2003-2,B+
836,4798,83,2003-2,B+
837,4798,163,2003-2,B
838,4798,102,2005-1,C+
839,4798,106,2005-2,D
840,4798,197,2005-2,B
841,4798,104,2004-1,A-
842,4798,287,2004-1,B
843,4798,103,2005-2,C
844,4798,108,2005-2,B
845,4798,84,2003-1,B+
846,4798,162,2003-1,B+
847,4798,88,2004-1,D+
848,4798,107,2004-2,C+
849,4798,103,2004-1,D+
850,4798,197,2005-1,WF
851,4798,212,2003-2,WP
852,4798,106,2004-2,D+
853,4798,88,2005-1,C+
854,4818,162,2003-1,F
855,4818,210,2003-1,D
856,4818,175,2003-1,C+
857,4818,84,2003-1,F
858,4818,83,2004-2,NG
859,4818,163,2004-2,NG
860,4818,82,2003-1,F
861,4818,82,2004-1,F
862,4818,162,2004-1,NG
863,4818,292,2003-1,NG
864,4818,84,2004-1,D+
865,4829,89,2003-2,B
866,4829,212,2003-2,C
867,4829,105,2003-3,A-
868,4829,205,2004-1,WF
869,4829,88,2005-1,D
870,4829,88,2008-1,C+
871,4829,84,2003-1,A-
872,4829,210,2003-1,B+
873,4829,213,2003-2,A-
874,4829,87,2003-2,B+
875,4829,88,2004-1,C
876,4829,102,2004-1,C+
877,4829,108,2004-2,B+
878,4829,243,2007-2,B
879,4829,82,2003-1,B+
880,4829,292,2003-1,A
881,4829,83,2003-2,B+
882,4829,106,2004-2,D
883,4829,107,2004-2,B
884,4829,285,2004-2,B
885,4829,175,2003-1,A-
886,4829,163,2003-2,C+
887,4829,103,2004-1,C
888,4829,180,2004-1,B
889,4829,205,2004-2,C+
890,4829,103,2005-1,B
891,4829,106,2005-2,D
892,4829,162,2003-1,B
893,4829,104,2004-1,B+
894,4829,279,2004-2,B+
895,4859,175,2007-1,B+
896,4859,91,2007-1,C+
897,4859,218,2007-3,B+
898,4859,102,2007-1,C+
899,4859,101,2007-2,B
900,4859,104,2007-2,A-
901,4859,180,2007-1,A-
902,4859,279,2007-1,C
903,4859,122,2007-2,B
904,4859,218,2007-1,D
905,4869,82,2003-1,F
906,4869,292,2003-1,A
907,4869,163,2003-2,NG
908,4869,175,2003-1,C+
909,4869,210,2003-1,WP
910,4869,162,2003-1,C
911,4869,212,2003-2,NG
912,4869,279,2003-2,NG
913,4869,84,2003-1,C
914,4869,87,2003-2,NG
915,4869,210,2003-2,NG
916,4880,175,2003-1,A-
917,4880,84,2003-1,A-
918,4880,162,2003-1,B+
919,4880,87,2003-2,A-
920,4880,213,2003-2,B+
921,4880,180,2004-1,C+
922,4880,205,2004-1,D
923,4880,210,2003-1,B
924,4880,163,2003-2,C+
925,4880,212,2003-2,C
926,4880,103,2004-1,C+
927,4880,106,2004-2,C
928,4880,285,2004-2,C+
929,4880,89,2003-2,B
930,4880,102,2004-1,C+
931,4880,82,2005-2,B
932,4880,292,2003-1,C+
933,4880,83,2003-2,A-
934,4880,105,2003-3,A-
935,4880,107,2004-2,C+
936,4880,82,2003-1,C
937,4880,88,2004-1,D
938,4880,104,2004-1,B+
939,4880,279,2004-2,C
940,4880,88,2005-1,B
941,4880,108,2004-2,A
942,4880,106,2005-2,C+
943,4920,197,2008-1,WF
944,4920,91,2008-1,A-
945,4920,83,2008-2,WF
946,4920,89,2008-2,A-
947,4920,279,2008-1,B+
948,4920,104,2008-2,A
949,4920,82,2008-1,B+
950,4920,202,2008-1,D
951,4920,202,2008-2,B+
952,4929,175,2008-1,A-
953,4929,81,2008-1,B
954,4929,180,2007-2,A-
955,4929,279,2007-2,C+
956,4929,288,2008-1,A
957,4934,84,2003-1,B+
958,4934,180,2007-1,B+
959,4934,82,2003-1,D+
960,4934,89,2003-2,C+
961,4934,212,2003-2,F
962,4934,88,2004-1,C
